latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-14.38973,130.03352,317.72,1.06,1.03,2025-06-26,0039,T,74,6.1NRT,298.3,12.92,D
-14.33123,129.54073,311.84,1.03,1.01,2025-06-26,0039,T,65,6.1NRT,296.79,7.88,D
-14.36054,129.48915,311.79,1.02,1.01,2025-06-26,0039,T,29,6.1NRT,297.17,6.84,D
-14.36313,129.50769,317.03,1.03,1.01,2025-06-26,0039,T,73,6.1NRT,298.2,11.25,D
-14.36443,129.51697,311.04,1.03,1.01,2025-06-26,0039,T,56,6.1NRT,297.41,6.56,D
-14.39573,129.74159,319.54,1.04,1.02,2025-06-26,0039,T,76,6.1NRT,297.71,14.45,D
-14.49949,130.49806,315.25,1.11,1.05,2025-06-26,0039,T,71,6.1NRT,297.14,11.47,D
-14.50085,130.50816,310.48,1.11,1.05,2025-06-26,0039,T,62,6.1NRT,296.39,7.23,D
-14.36298,129.44151,313.83,1.02,1.01,2025-06-26,0039,T,68,6.1NRT,297,9.84,D
-14.36541,129.39401,307.57,1.02,1.01,2025-06-26,0039,T,51,6.1NRT,296.23,4.91,D
-14.39892,129.50258,319.65,1.03,1.01,2025-06-26,0039,T,76,6.1NRT,297.63,14.35,D
-14.42586,129.49281,311.47,1.03,1.01,2025-06-26,0039,T,57,6.1NRT,297.24,7.5,D
-14.91712,133.29059,307.84,1.67,1.27,2025-06-26,0039,T,60,6.1NRT,292.01,11.03,D
-15.01241,133.1351,313.8,1.63,1.26,2025-06-26,0039,T,71,6.1NRT,295.39,19.52,D
-14.08601,126.35692,310.87,1.14,1.06,2025-06-26,0039,T,47,6.1NRT,297.91,6.69,D
-14.08759,126.36723,309.89,1.13,1.06,2025-06-26,0039,T,60,6.1NRT,297.57,5.76,D
-15.3297,135.51216,305.51,2.51,1.52,2025-06-26,0039,T,54,6.1NRT,286.88,17.56,D
-15.32699,135.53014,305.21,2.52,1.53,2025-06-26,0039,T,24,6.1NRT,286,17.05,D
-14.23298,126.2366,334.93,1.15,1.07,2025-06-26,0039,T,0,6.1NRT,299.17,32.25,D
-14.24253,126.29854,323,1.14,1.06,2025-06-26,0039,T,59,6.1NRT,296.92,17.99,D
-15.55937,135.49091,306.2,2.52,1.53,2025-06-26,0039,T,39,6.1NRT,286.92,17.32,D
-14.3679,126.26238,312.32,1.14,1.06,2025-06-26,0039,T,42,6.1NRT,297.1,7.87,D
-14.36946,126.27267,317.32,1.14,1.06,2025-06-26,0039,T,31,6.1NRT,297.6,12,D
-14.3961,126.28297,313.57,1.14,1.06,2025-06-26,0039,T,63,6.1NRT,298.26,9.15,D
-14.39769,126.29321,317.53,1.13,1.06,2025-06-26,0039,T,73,6.1NRT,297.75,13.15,D
-14.40706,126.29175,315.23,1.13,1.06,2025-06-26,0039,T,64,6.1NRT,297.77,10.56,D
-15.65183,135.02798,309.56,2.32,1.47,2025-06-26,0039,T,65,6.1NRT,293.7,23.45,D
-15.65426,135.04892,308.53,2.33,1.48,2025-06-26,0039,T,63,6.1NRT,293.96,20.77,D
-15.65217,135.04364,313.55,2.33,1.48,2025-06-26,0039,T,71,6.1NRT,294.17,33.02,D
-14.76274,127.91538,323.46,1.01,1,2025-06-26,0039,T,80,6.1NRT,296.86,16.91,D
-14.77294,127.92317,315.52,1.01,1,2025-06-26,0039,T,10,6.1NRT,296.56,8.65,D
-14.796,127.95705,308.28,1.01,1,2025-06-26,0039,T,51,6.1NRT,296.6,4.56,D
-15.13088,130.26521,312.75,1.1,1.04,2025-06-26,0039,T,65,6.1NRT,298.45,8.02,D
-15.14011,130.26393,310.43,1.1,1.04,2025-06-26,0039,T,50,6.1NRT,297.34,6.33,D
-15.53271,131.98979,318.39,1.38,1.16,2025-06-26,0039,T,71,6.1NRT,296,17.86,D
-15.53432,132.00235,318.35,1.38,1.16,2025-06-26,0039,T,60,6.1NRT,297.16,17.38,D
-15.54623,132.01361,322.12,1.38,1.16,2025-06-26,0039,T,51,6.1NRT,296.23,22.55,D
-15.54784,132.02621,325.47,1.39,1.17,2025-06-26,0039,T,82,6.1NRT,297.13,29.24,D
-14.7562,126.22217,307.88,1.13,1.06,2025-06-26,0039,T,55,6.1NRT,296.67,5.47,D
-14.78587,126.22806,307.17,1.13,1.06,2025-06-26,0039,T,53,6.1NRT,296.36,5.3,D
-15.62203,131.97148,312.52,1.38,1.16,2025-06-26,0039,T,63,6.1NRT,296.52,10.58,D
-15.65288,131.96748,310.28,1.38,1.16,2025-06-26,0039,T,52,6.1NRT,296.33,7.76,D
